nome,email,telefone,cpf,cnpj,cep,data,valor,url,texto_livre
Danielë Souza,o  ig8f_1c@example.com,(71) 959440-7816,999.9299.9999-99,86.379.402/6542-35,84959-310,331/07/203,"R$5 3.553,18",http://site.org/3xkxw/rek8,"Cliente: Danielë Souza Contato: o ig8f_1c@example.com | (71) 959440-7816 Identificação: CPF 999.9299.9999-99 / CNPJ 86.379.402/6542-35 Endereço: CEP 84959-310 Data cadastro: 331/07/203 Faturamento: R$5 3.553,18 Site: http://site.org/3xkxw/rek8 Observação: öëçrôvhsàkãaûûqèçlègòtò"
J  oão Almeei_da,+f8o40wn-3@zufc.br,(95) 94220-8595,0  57.834.108-53,95.035.451/3640-24,312135-595,1/-07/2016,R$ 7705.14,h  ttps://contato.me/2h1/vunych,Cliente: J oão Almeei_da Contato: +f8o40wn-3@zufc.br | (95) 94220-8595 Identificação: CPF 0 57.834.108-53 / CNPJ 95.035.451/3640-24 Endereço: CEP 312135-595 Data cadastro: 1/-07/2016 Faturamento: R$ 7705.14 Site: h ttps://contato.me/2h1/vunych Observação: õgjhmeûltmqùõyyúyiïhmúylfv
Helena2 Rodrigues,a  yaes0hia@mail.com9,+55(6)97518-0075,8ì49.844.75-40,0  07488133533394,58255-483,0  07/11/2016,R$ 4117.80,http://site.org/75ava//ncd4iq/uypy1z2,Cliente: Helena2 Rodrigues Contato: a yaes0hia@mail.com9 | +55(6)97518-0075 Identificação: CPF 8ì49.844.75-40 / CNPJ 0 07488133533394 Endereço: CEP 58255-483 Data cadastro: 0 07/11/2016 Faturamento: R$ 4117.80 Site: http://site.org/75ava//ncd4iq/uypy1z2 Observação: óîjrüsiouczëêtnçîpîoõóybz
E  dulardo Moura,o  -h+i_s@dominio.org,(92) 996454-ô8277,874.545.603-85,86.865.927/9948-30,9  5911-994,28/11/2017,2025,https://contato.me/kgh86s/chq2a,Cliente: E dulardo Moura Contato: o -h+i_s@dominio.org | (92) 996454-ô8277 Identificação: CPF 874.545.603-85 / CNPJ 86.865.927/9948-30 Endereço: CEP 9 5911-994 Data cadastro: 28/11/2017 Faturamento: 2025 Site: https://contato.me/kgh86s/chq2a Observação: ènäbtãcùkmãçhôúkxbyèlhû
Eduardo Souza,x  6hp-2--v@example.com,+  55 86 90258458,624.524.055-74,35.919.988/5522-98,5422048,22/12/2007,R  R$3401.27,http://site.org/6z2p,Cliente: Eduardo Souza Contato: x 6hp-2--v@example.com | + 55 86 90258458 Identificação: CPF 624.524.055-74 / CNPJ 35.919.988/5522-98 Endereço: CEP 5422048 Data cadastro: 22/12/2007 Faturamento: R R$3401.27 Site: http://site.org/6z2p Observação: iyòèãhöãvèqbvoçeëòíáv
Talita Ribeiroo, h2k3r0dapsf@example.com,5  (51) 9712-3461,882.870.351-20,497450097064800,5  5244-027,1/04/2008,"ë4,461.6",http:///site.org/hob/owmhe1u/wij,"Cliente: Talita Ribeiroo Contato: h2k3r0dapsf@example.com | 5 (51) 9712-3461 Identificação: CPF 882.870.351-20 / CNPJ 497450097064800 Endereço: CEP 5 5244-027 Data cadastro: 1/04/2008 Faturamento: ë4,461.6 Site: http:///site.org/hob/owmhe1u/wij Observação: àgwõwkjsôùfepqfsígiáûíìiyxëúo"
Lettícia Carvalho,-068u0b0@ufc br,(  11) 98457-8449,6  884.709.319-62,96.591.239/4494-27,23077146,02/066/2001,1536,http://dataa.ufc.br/1aee6p2,Cliente: Lettícia Carvalho Contato: -068u0b0@ufc br | ( 11) 98457-8449 Identificação: CPF 6 884.709.319-62 / CNPJ 96.591.239/4494-27 Endereço: CEP 23077146 Data cadastro: 02/066/2001 Faturamento: 1536 Site: http://dataa.ufc.br/1aee6p2 Observação: àlöaaaëèëüêôäôátügtpãâkklèxuà
Viinícius Azevedo,r.ows8@ufc..br,+55 61 937593358,777.777.777-77,19903777311009,1  5149-400,1  2/05/2019,3709.66 BBRL,hhttps://exemplo.com/378f@,Cliente: Viinícius Azevedo Contato: r.ows8@ufc..br | +55 61 937593358 Identificação: CPF 777.777.777-77 / CNPJ 19903777311009 Endereço: CEP 1 5149-400 Data cadastro: 1 2/05/2019 Faturamento: 3709.66 BBRL Site: hhttps://exemplo.com/378f@ Observação: jhzüàlïyöyêòúläoqkêìdôq
Fernanda Allmeida,szaz67.v6@ufc.br,(51) 94163-16.4,3  21.913g.304-52,34856450446240,70003-379,08/10/2019,R  $ 232.39,https://empresa.com.br/c1zb,Cliente: Fernanda Allmeida Contato: szaz67.v6@ufc.br | (51) 94163-16.4 Identificação: CPF 3 21.913g.304-52 / CNPJ 34856450446240 Endereço: CEP 70003-379 Data cadastro: 08/10/2019 Faturamento: R $ 232.39 Site: https://empresa.com.br/c1zb Observação: úyweàéîkhjâeûïujzfähèáädõîàèp
R  afaela Olive0ira,1q-8uq3@example.com,9291539305,555.555.555-55,63481i300436284,188762404,3/03/2001,"R  $ 3.3933,31",https://empresa.com.br/we6e/f7mj81,"Cliente: R afaela Olive0ira Contato: 1q-8uq3@example.com | 9291539305 Identificação: CPF 555.555.555-55 / CNPJ 63481i300436284 Endereço: CEP 188762404 Data cadastro: 3/03/2001 Faturamento: R $ 3.3933,31 Site: https://empresa.com.br/we6e/f7mj81 Observação: îâïúwãoãüãxàüüúòsôgbíîtxicäivïrüaméy"
I  gor Rorigues,mib_6q@gmail.com,(95) 93056-1311,2  25.549.422-18,14.136.325/5861-t21,3  7236 -790,05/08/2005,4452,http://site.orrg/jehe/7b9,Cliente: I gor Rorigues Contato: mib_6q@gmail.com | (95) 93056-1311 Identificação: CPF 2 25.549.422-18 / CNPJ 14.136.325/5861-t21 Endereço: CEP 3 7236 -790 Data cadastro: 05/08/2005 Faturamento: 4452 Site: http://site.orrg/jehe/7b9 Observação: dlrsáqrkmôwìêûòûyrèrbúûîlöäbjìcéxqjjòq
Taliit Rodrigues,t  3y8.9@outlook.com,((86) 3263-3457,3  6391596590,81.403.484/5453-71,81175966,2  5/01/2013,1940ô.93 BRL,https://exemplo.com/7rd7w/hdd4cyh,Cliente: Taliit Rodrigues Contato: t 3y8.9@outlook.com | ((86) 3263-3457 Identificação: CPF 3 6391596590 / CNPJ 81.403.484/5453-71 Endereço: CEP 81175966 Data cadastro: 2 5/01/2013 Faturamento: 1940ô.93 BRL Site: https://exemplo.com/7rd7w/hdd4cyh Observação: òcèîõäoôdoàwóúçcããrà
P  aulo Barbos,mta.3duv@mail.com,2  1 0158-5263,1  333431742,49.631.885/n3402-19,3108-577,14/10/2n018,"-R$ 3.589,65",http://site.org/ibff7/z6l4kz,"Cliente: P aulo Barbos Contato: mta.3duv@mail.com | 2 1 0158-5263 Identificação: CPF 1 333431742 / CNPJ 49.631.885/n3402-19 Endereço: CEP 3108-577 Data cadastro: 14/10/2n018 Faturamento: -R$ 3.589,65 Site: http://site.org/ibff7/z6l4kz Observação: úâlâqöüãïmhúôïëbâeipmàâègöjûg"
L  etícia Ribeiiro,o  2p__22@gmail.com,5184004210,041.458.861--43,23590632877572,97988c576,13-12-2016,4138.335 BRL,http://siite.org/nl58my/57c/58lb56p,Cliente: L etícia Ribeiiro Contato: o 2p__22@gmail.com | 5184004210 Identificação: CPF 041.458.861--43 / CNPJ 23590632877572 Endereço: CEP 97988c576 Data cadastro: 13-12-2016 Faturamento: 4138.335 BRL Site: http://siite.org/nl58my/57c/58lb56p Observação: üjotoõâgslùsmöèõèdhpûãlõrïkëíscüìzïáué
Helena Martins,o  3upglja5iif@outlook.com,+55(992)92938-5550,980.560.222-28,q  32.13.780/0684-48,93200822,0  8/6/2005,228k00,http://data.ufc.br/a6x/5drhm,Cliente: Helena Martins Contato: o 3upglja5iif@outlook.com | +55(992)92938-5550 Identificação: CPF 980.560.222-28 / CNPJ q 32.13.780/0684-48 Endereço: CEP 93200822 Data cadastro: 0 8/6/2005 Faturamento: 228k00 Site: http://data.ufc.br/a6x/5drhm Observação: vóäèôtõlõëfsôpòuhùôó
João Azeveddo,+  8f50pbg+ggw@mail.com,+r55(92)973665-2939,3167014155,8  8.206.456/2009-18,2205-656,2  9/03/2004,3  803.53 BRL,h  ttps://contato.me/j3t/bggobw,Cliente: João Azeveddo Contato: + 8f50pbg+ggw@mail.com | +r55(92)973665-2939 Identificação: CPF 3167014155 / CNPJ 8 8.206.456/2009-18 Endereço: CEP 2205-656 Data cadastro: 2 9/03/2004 Faturamento: 3 803.53 BRL Site: h ttps://contato.me/j3t/bggobw Observação: svôüóëlùâíesäcvõüàtó
Paulo Carvalhoo, _hkz.6g@m(ail.com,+55 86 9344405856,345.338.430-00,88.331.0220/8520-56,9  5197439,06/04/2011,"4,88456",https:v//contato.me/ibxru/rfl7n/2s,"Cliente: Paulo Carvalhoo Contato: _hkz.6g@m(ail.com | +55 86 9344405856 Identificação: CPF 345.338.430-00 / CNPJ 88.331.0220/8520-56 Endereço: CEP 9 5197439 Data cadastro: 06/04/2011 Faturamento: 4,88456 Site: https:v//contato.me/ibxru/rfl7n/2s Observação: kpgfàyxxyoòàoadösömmuîcfwzsaãõòx"
Letcia Azevedo,f  qy2nv-j6@empre5sa.com.br,+55(61)91711-0696,962.57.416õ-53,65.665.764/633-05,96939-249,01/03/20110,R$ 1888.03,h  ttp://data.ufc.br/l6ufwl/n5s22se,Cliente: Letcia Azevedo Contato: f qy2nv-j6@empre5sa.com.br | +55(61)91711-0696 Identificação: CPF 962.57.416õ-53 / CNPJ 65.665.764/633-05 Endereço: CEP 96939-249 Data cadastro: 01/03/20110 Faturamento: R$ 1888.03 Site: h ttp://data.ufc.br/l6ufwl/n5s22se Observação: siëàzljégóòjfãoáyüvàáãoïd
N  atan Lima,5k55k@outloo.com,++55(86)5724-4917,657.614.766-06,y7164022123442,4826ë14481,5/04/2015,44182.9 BRL,https://exemplo.com/9pn/b5aophw/04amp,Cliente: N atan Lima Contato: 5k55k@outloo.com | ++55(86)5724-4917 Identificação: CPF 657.614.766-06 / CNPJ y7164022123442 Endereço: CEP 4826ë14481 Data cadastro: 5/04/2015 Faturamento: 44182.9 BRL Site: https://exemplo.com/9pn/b5aophw/04amp Observação: äqöîêùùéxêùqûdktçîpèãenëïïçjãìúovõsçqörv
T  alit Lima,v2mdhufc.br,+55 81 9ü63173338,5261457831,66.363.051/281r6-91,6  8369570,0  09/09/2002,"2,933.228",http://site.org/prn/1jl/uzlh,"Cliente: T alit Lima Contato: v2mdhufc.br | +55 81 9ü63173338 Identificação: CPF 5261457831 / CNPJ 66.363.051/281r6-91 Endereço: CEP 6 8369570 Data cadastro: 0 09/09/2002 Faturamento: 2,933.228 Site: http://site.org/prn/1jl/uzlh Observação: rxôéeáúöhxôôànpybáöfbçúöfpö"
Fernanda Pereira,oz5k1@uf öbr,(  85) 91168-8392,308.169.035-81,42.062.895/8042-46,1436ãã7-858,22-05-2014,12214.71 BRL,h  ttp://data.ufc.br/7indb5/4ap6,Cliente: Fernanda Pereira Contato: oz5k1@uf öbr | ( 85) 91168-8392 Identificação: CPF 308.169.035-81 / CNPJ 42.062.895/8042-46 Endereço: CEP 1436ãã7-858 Data cadastro: 22-05-2014 Faturamento: 12214.71 BRL Site: h ttp://data.ufc.br/7indb5/4ap6 Observação: xùoìoõùûîíxyâççàabçùqläcîèpïáçvsüê
Vinícius Lima,n6axn0oq@domnio.org,(11) 94592-1893,167.04.780-59,44.529.258@/2491-70,â  05876869,0  9/122002,497.83,h  ttps://contato.me/u5eqg5,Cliente: Vinícius Lima Contato: n6axn0oq@domnio.org | (11) 94592-1893 Identificação: CPF 167.04.780-59 / CNPJ 44.529.258@/2491-70 Endereço: CEP â 05876869 Data cadastro: 0 9/122002 Faturamento: 497.83 Site: h ttps://contato.me/u5eqg5 Observação: eïïáènúkäüájëîòdèjoéhbxîáakmoúï
Sérgio ouza,j5lirm5u@@ufc.br,8  592786118,1  162569708,1147716315940,192834ï40,1  4/01/2002,R  $ 181.550,https://mpresa.com.br/83snxtd/uu9skatx,Cliente: Sérgio ouza Contato: j5lirm5u@@ufc.br | 8 592786118 Identificação: CPF 1 162569708 / CNPJ 1147716315940 Endereço: CEP 192834ï40 Data cadastro: 1 4/01/2002 Faturamento: R $ 181.550 Site: https://mpresa.com.br/83snxtd/uu9skatx Observação: àqùrùêçkìàfkaujöèâbchìdyksàçxjeòõijw
Natan Oliveira,3  0j-jc10@mail.com,2  21918569117,c667.037.070-90,55.753.882//5784-37,18875-81,15/09/2023,1  305.65BRL,https://exemplo.com/nn37r,Cliente: Natan Oliveira Contato: 3 0j-jc10@mail.com | 2 21918569117 Identificação: CPF c667.037.070-90 / CNPJ 55.753.882//5784-37 Endereço: CEP 18875-81 Data cadastro: 15/09/2023 Faturamento: 1 305.65BRL Site: https://exemplo.com/nn37r Observação: hûräafjzöbüxáùúkóizyîkoyidg
H  elena Costa,651obj_6zempresa.com.br,(86) 9878-1339,118.031e.9668-07,35.26.374/7888-224,72328-823,0  8/07ï/2020,"-  R$1.803,62",https://empresa.com.br/4dxussb,"Cliente: H elena Costa Contato: 651obj_6zempresa.com.br | (86) 9878-1339 Identificação: CPF 118.031e.9668-07 / CNPJ 35.26.374/7888-224 Endereço: CEP 72328-823 Data cadastro: 0 8/07ï/2020 Faturamento: - R$1.803,62 Site: https://empresa.com.br/4dxussb Observação: jqtrìäûhkkyîuesôòpáïkcdîgjwùèxptüd"
E  duado Rodrigues,6.wp6@outlook.comm,959q31800447,706.401.374-666,78.263.76ô9/2461-99,40505-1è59,39/06/2016,R$ 1335.28,https://contato.me/ye9b/cdg5g,Cliente: E duado Rodrigues Contato: 6.wp6@outlook.comm | 959q31800447 Identificação: CPF 706.401.374-666 / CNPJ 78.263.76ô9/2461-99 Endereço: CEP 40505-1è59 Data cadastro: 39/06/2016 Faturamento: R$ 1335.28 Site: https://contato.me/ye9b/cdg5g Observação: öâvúwäíáôgyuíqgümacûó
Gabriel Lima,s  zlb015l-6pdominio.org,3e1 96581-7729,9r41.028.296--95,02.649.280/3151-81,5  7836368,06/08/201,R  $ 196.15,http://site.org/1dce/8gl,Cliente: Gabriel Lima Contato: s zlb015l-6pdominio.org | 3e1 96581-7729 Identificação: CPF 9r41.028.296--95 / CNPJ 02.649.280/3151-81 Endereço: CEP 5 7836368 Data cadastro: 06/08/201 Faturamento: R $ 196.15 Site: http://site.org/1dce/8gl Observação: õútgkkûvdehkèãçvdêlz
Paulo Barbosa,p9a2-_gs+p5gufûc.br,+55(51ú)9359-2753,111.111.111-1.,8  8175610958320,24799052,23/10/2013,-  R$ 235ò26,https://exemplo.com//49m/0myrc/7v69e,Cliente: Paulo Barbosa Contato: p9a2-_gs+p5gufûc.br | +55(51ú)9359-2753 Identificação: CPF 111.111.111-1. / CNPJ 8 8175610958320 Endereço: CEP 24799052 Data cadastro: 23/10/2013 Faturamento: - R$ 235ò26 Site: https://exemplo.com//49m/0myrc/7v69e Observação: çîqráüïkzzlánïwgîúêgùoëomrú
Yasmin Carvvalho,ê  uvl.-k@dominio.org,õ  +55(98)98929-3090,7  135899610,01.311.378/718797,72584-009u,21/05/2008,"R$ .333,,95",https://contato.me/0yzav/07b/xxk6,"Cliente: Yasmin Carvvalho Contato: ê uvl.-k@dominio.org | õ +55(98)98929-3090 Identificação: CPF 7 135899610 / CNPJ 01.311.378/718797 Endereço: CEP 72584-009u Data cadastro: 21/05/2008 Faturamento: R$ .333,,95 Site: https://contato.me/0yzav/07b/xxk6 Observação: wywdnäguüùbaäqíèoèjàëjd"
Carlos Oliveira,jzld414.x5mail.com,+  55(11)8178-3135,186.972.z500-05,36.587.949/2315-8,19093661,30/09/2022,"R$ 4.773,06",httbps://empresa.com.br/p3yb0e2/iwv/2w8,"Cliente: Carlos Oliveira Contato: jzld414.x5mail.com | + 55(11)8178-3135 Identificação: CPF 186.972.z500-05 / CNPJ 36.587.949/2315-8 Endereço: CEP 19093661 Data cadastro: 30/09/2022 Faturamento: R$ 4.773,06 Site: httbps://empresa.com.br/p3yb0e2/iwv/2w8 Observação: vsoâaghizïîlêïãôiiqìâáfóöotëéäôö"
Natan SSouza,-81iqmailg.cm,+  55 86 903749736,557182652271,4  6.665.658/4042-06,56712-124,30/12/2009,6  7.13,https://exemplo.com/w4ihp,Cliente: Natan SSouza Contato: -81iqmailg.cm | + 55 86 903749736 Identificação: CPF 557182652271 / CNPJ 4 6.665.658/4042-06 Endereço: CEP 56712-124 Data cadastro: 30/12/2009 Faturamento: 6 7.13 Site: https://exemplo.com/w4ihp Observação: çàëqäkãözcqeûlëfäéhéfyîîsrtlôímîynlréc
A  na Costa,r4hkdc2oy@,(81) 5990-5884,288.888.888-88,97.767.532/9998-39,j94824-641,06/03/2000,34/00,https:///exemplo.com/2cb1g1/n8q5p6eä,Cliente: A na Costa Contato: r4hkdc2oy@ | (81) 5990-5884 Identificação: CPF 288.888.888-88 / CNPJ 97.767.532/9998-39 Endereço: CEP j94824-641 Data cadastro: 06/03/2000 Faturamento: 34/00 Site: https:///exemplo.com/2cb1g1/n8q5p6eä Observação: èöhûfôíérôcdéqoçjykëûòqnkoõ
Rafaela Almeida,y4i_rrjs4l@outlook om,(51) 91730-9818,4  7522.833.343-26,32.227.561/77583-60,924224-129,3001/õ2022,R$ 1294.98,h  ttps://empresa.com.br/ojbo5q9//blo/228xfr,Cliente: Rafaela Almeida Contato: y4i_rrjs4l@outlook om | (51) 91730-9818 Identificação: CPF 4 7522.833.343-26 / CNPJ 32.227.561/77583-60 Endereço: CEP 924224-129 Data cadastro: 3001/õ2022 Faturamento: R$ 1294.98 Site: h ttps://empresa.com.br/ojbo5q9//blo/228xfr Observação: fxóôfôëooooxzkòôxvbhnvçíthçdùûpûqfe
Hlena Gomqes,iicf3@empresa com.br,8687568192,8  221.606.868-18,63070996ç488647,95911029,24/04/20099,R  $ 260.21,t  tp://data.ufc..br/pj2/miys6,Cliente: Hlena Gomqes Contato: iicf3@empresa com.br | 8687568192 Identificação: CPF 8 221.606.868-18 / CNPJ 63070996ç488647 Endereço: CEP 95911029 Data cadastro: 24/04/20099 Faturamento: R $ 260.21 Site: t tp://data.ufc..br/pj2/miys6 Observação: kácüaêèëtõmìfmúróãphbxníê
Sérg9io Carvalho,gk-atrk6@outlook.com,71 9784-9704,3  61.601ì.097-74,89..382.121/0151-80,/07766631,11/14/1994,9968,http://site.org/iinyuu/k4fq/lwa4yj,Cliente: Sérg9io Carvalho Contato: gk-atrk6@outlook.com | 71 9784-9704 Identificação: CPF 3 61.601ì.097-74 / CNPJ 89..382.121/0151-80 Endereço: CEP /07766631 Data cadastro: 11/14/1994 Faturamento: 9968 Site: http://site.org/iinyuu/k4fq/lwa4yj Observação: êilönoövêàinrjõiosçijátebhqòrjmaxyyvç
P  aulo Gomes,gjwh5qptlhb@ufc0.br,+55 21 9661247688,9  88.9939031 -05,66.802.687/4851-82,9  7664692,19/10/2001,$   31770.18,htttps://empresa.com.br/t0r8lv/u.3yps,Cliente: P aulo Gomes Contato: gjwh5qptlhb@ufc0.br | +55 21 9661247688 Identificação: CPF 9 88.9939031 -05 / CNPJ 66.802.687/4851-82 Endereço: CEP 9 7664692 Data cadastro: 19/10/2001 Faturamento: $ 31770.18 Site: htttps://empresa.com.br/t0r8lv/u.3yps Observação: fxmlpèëtdìóvxvaàkéhíhdym
C@arlosRodrigues,r8d1y2yr1@emprresa.com.br,+55 81 87000985,065.165.126-39,7  3.704.214/1523-03,50693-576,0  03/04/005,"3  ,138.12",https://exmplo.com/n1cz/an50,"Cliente: C@arlosRodrigues Contato: r8d1y2yr1@emprresa.com.br | +55 81 87000985 Identificação: CPF 065.165.126-39 / CNPJ 7 3.704.214/1523-03 Endereço: CEP 50693-576 Data cadastro: 0 03/04/005 Faturamento: 3 ,138.12 Site: https://exmplo.com/n1cz/an50 Observação: góqûwòcêòócàyboáoraîôfùçyfáìn"
Daniel Pereira,p  ymsul8b@mai.com,(81) 90794-9117,326.444.581-61,46.1552.868/591-31,60812-570,17-12-2000,"4  ,507.7",https://empresa.coom.br/2et4d05/zvcbb/h220,"Cliente: Daniel Pereira Contato: p ymsul8b@mai.com | (81) 90794-9117 Identificação: CPF 326.444.581-61 / CNPJ 46.1552.868/591-31 Endereço: CEP 60812-570 Data cadastro: 17-12-2000 Faturamento: 4 ,507.7 Site: https://empresa.coom.br/2et4d05/zvcbb/h220 Observação: ovöíccüòôiâiófâgrhgiglócwêèûèseî"
GabrielAlmeida,ynfot_q@dominio.org,92 0499-8831,8  29a.521.938-52,3  1.142.311/5479-08,066053-954s,27/01/22023,2  23ä1,https://contato.me/n837,Cliente: GabrielAlmeida Contato: ynfot_q@dominio.org | 92 0499-8831 Identificação: CPF 8 29a.521.938-52 / CNPJ 3 1.142.311/5479-08 Endereço: CEP 066053-954s Data cadastro: 27/01/22023 Faturamento: 2 23ä1 Site: https://contato.me/n837 Observação: ãéjeèíóbàáwôdõvàxxorb
B  eatriz Barbosa, 0e3i32@imail.com,+55(31)4689-761v6,954.31@6.118-69,21.859.293/0044-77,1  1870011,14/01/20077,4401.24 BL,h  ttps://exemplo.com/91zuw4,Cliente: B eatriz Barbosa Contato: 0e3i32@imail.com | +55(31)4689-761v6 Identificação: CPF 954.31@6.118-69 / CNPJ 21.859.293/0044-77 Endereço: CEP 1 1870011 Data cadastro: 14/01/20077 Faturamento: 4401.24 BL Site: h ttps://exemplo.com/91zuw4 Observação: gamuêbããúfdîfkdöqùvöîo
Sérgio Gomes,o7tupurz8h--@dominio.org,+55 98  926144645,30037363700,5  7.081.518/0778-42,75310026, 22/11/2019,R$ 190018ì3,h  ttpé://data.ufc.br/2eer7e/xwig,Cliente: Sérgio Gomes Contato: o7tupurz8h--@dominio.org | +55 98 926144645 Identificação: CPF 30037363700 / CNPJ 5 7.081.518/0778-42 Endereço: CEP 75310026 Data cadastro: 22/11/2019 Faturamento: R$ 190018ì3 Site: h ttpé://data.ufc.br/2eer7e/xwig Observação: ddìtchâäûqóògìlèmisìxghaîùàúùâbölsóeeç
Olívia odrig(ues,t  39230j+@ominio.org,(  92) 96358-7311,67930721701,27.90.684/6428-73,35492-586,16/011/2013,R$ 1877..05,http://data.ufc.br/k8hxu,Cliente: Olívia odrig(ues Contato: t 39230j+@ominio.org | ( 92) 96358-7311 Identificação: CPF 67930721701 / CNPJ 27.90.684/6428-73 Endereço: CEP 35492-586 Data cadastro: 16/011/2013 Faturamento: R$ 1877..05 Site: http://data.ufc.br/k8hxu Observação: çàfplctdzpkkmylôègôùüîãìóf
D  aniel  Barbosa,o  0yf+z3h_2_1outlook.com,+55(31)95197-0962,7816ë2667156,2659700732171,3  1673-499,2  5/06/2006,R$686.73,https://empresa.ccom.br/26r/ut8,Cliente: D aniel Barbosa Contato: o 0yf+z3h_2_1outlook.com | +55(31)95197-0962 Identificação: CPF 7816ë2667156 / CNPJ 2659700732171 Endereço: CEP 3 1673-499 Data cadastro: 2 5/06/2006 Faturamento: R$686.73 Site: https://empresa.ccom.br/26r/ut8 Observação: khuefûiùzeaîûeûiêùjäéuyõwmïì
TalitaAzevedo,13ok0tkk1022n@example.com,71- 91310-6660,352279434071,62.7666.47/4860-60,972994513,03/06/2018,R  $44935.99,h  ttp://dat.ufc.br/qi7a,Cliente: TalitaAzevedo Contato: 13ok0tkk1022n@example.com | 71- 91310-6660 Identificação: CPF 352279434071 / CNPJ 62.7666.47/4860-60 Endereço: CEP 972994513 Data cadastro: 03/06/2018 Faturamento: R $44935.99 Site: h ttp://dat.ufc.br/qi7a Observação: áâtgxêyéóuöisûbòëéúr
Danniel Ribeiro,b3v50qt.yp@outlook.com,+55(31)2656-7992,21481964216,0.365.451/9160-99,6  243478,à17/18/1992,3771,h  ttps://empresa.com.br/9ygt0/jheoy83,Cliente: Danniel Ribeiro Contato: b3v50qt.yp@outlook.com | +55(31)2656-7992 Identificação: CPF 21481964216 / CNPJ 0.365.451/9160-99 Endereço: CEP 6 243478 Data cadastro: à17/18/1992 Faturamento: 3771 Site: h ttps://empresa.com.br/9ygt0/jheoy83 Observação: ûshkàázúlõcàíuzáççcçóaùj
Sérgio Martiins,e  eehbfwc@empresa.com.br,31 95185-46ô41,155.427.714-08,28876468809049,7  72811-l223,0  2/12/2023,R$ 939.78,https://exemplo.com/6cluxr/v2vl00w5,Cliente: Sérgio Martiins Contato: e eehbfwc@empresa.com.br | 31 95185-46ô41 Identificação: CPF 155.427.714-08 / CNPJ 28876468809049 Endereço: CEP 7 72811-l223 Data cadastro: 0 2/12/2023 Faturamento: R$ 939.78 Site: https://exemplo.com/6cluxr/v2vl00w5 Observação: âfxxvyiúmìöséátáùóeüsvãèxóúõûa
Viníciuss R@ibeiro,+-dwybniyzoutlook.com,+  55 81 69688706,510.315.308-43,22.222.222/2222-22,1089-107,18/06/22019,R$ 45.ù22,https://exempldo.com/vwhv22cm/msf2e,Cliente: Viníciuss R@ibeiro Contato: +-dwybniyzoutlook.com | + 55 81 69688706 Identificação: CPF 510.315.308-43 / CNPJ 22.222.222/2222-22 Endereço: CEP 1089-107 Data cadastro: 18/06/22019 Faturamento: R$ 45.ù22 Site: https://exempldo.com/vwhv22cm/msf2e Observação: grèjyílãjváçpópcdîòjöjrefäähxwù
G  arieol Almeida,h  4óskegvi@example.com,(85)  6359-123,926.936.099-76,99551ü310398696,7  5674537,2  6/09/2017,R$ 2464.ì26,http://data.ufc.br/0n6xe,Cliente: G arieol Almeida Contato: h 4óskegvi@example.com | (85) 6359-123 Identificação: CPF 926.936.099-76 / CNPJ 99551ü310398696 Endereço: CEP 7 5674537 Data cadastro: 2 6/09/2017 Faturamento: R$ 2464.ì26 Site: http://data.ufc.br/0n6xe Observação: rúaúçbüîíîoüàëûâceäje
Marina Azevedo,sqcdduqpfkik@,+  55p(95)2537-7422,4923_2724499,50.389.347/6499-32,7  1648-435,0  711/20012,2260.68 BRL,https://empresa.com.br/cuvvo6x,Cliente: Marina Azevedo Contato: sqcdduqpfkik@ | + 55p(95)2537-7422 Identificação: CPF 4923_2724499 / CNPJ 50.389.347/6499-32 Endereço: CEP 7 1648-435 Data cadastro: 0 711/20012 Faturamento: 2260.68 BRL Site: https://empresa.com.br/cuvvo6x Observação: ögòbjòõïêòpngjàujôègadâsçó
Tallita Martins,iawq7scrp9dd@ufc.bbr,+55 71 920(54888,6  6581539309,2  3.3ó93.646/9549-32,ú07325791,21/007/2002,3688.20 BRL,h  ttps://contato.me/ixlnic,Cliente: Tallita Martins Contato: iawq7scrp9dd@ufc.bbr | +55 71 920(54888 Identificação: CPF 6 6581539309 / CNPJ 2 3.3ó93.646/9549-32 Endereço: CEP ú07325791 Data cadastro: 21/007/2002 Faturamento: 3688.20 BRL Site: h ttps://contato.me/ixlnic Observação: âhùìììqözüxcflmväêjlmòóróüãcëotdà
Eduaardo Almeida,ztter845@,(  51) 1755-2539,459.941.8833-87,0  8.988.093/2079-93,25525-003,26/11/2020,225,h  ttps:///contato.me/dl474d/pihv,Cliente: Eduaardo Almeida Contato: ztter845@ | ( 51) 1755-2539 Identificação: CPF 459.941.8833-87 / CNPJ 0 8.988.093/2079-93 Endereço: CEP 25525-003 Data cadastro: 26/11/2020 Faturamento: 225 Site: h ttps:///contato.me/dl474d/pihv Observação: rkìáâmaâqzíûyünëysyedüã
T  alita Azevedo,23+q-h4@@dominio.org,(  92) 95623-3383,5  89g.882.391-30,99.999.999/9999-99,67290-037,0  5/10/2013,"R  4$ 1.417,79",http://data.ufc.br/qhwfmd5/uxjca/wkbx,"Cliente: T alita Azevedo Contato: 23+q-h4@@dominio.org | ( 92) 95623-3383 Identificação: CPF 5 89g.882.391-30 / CNPJ 99.999.999/9999-99 Endereço: CEP 67290-037 Data cadastro: 0 5/10/2013 Faturamento: R 4$ 1.417,79 Site: http://data.ufc.br/qhwfmd5/uxjca/wkbx Observação: pöffsbkûgwndèasdkãáeãéëgkúèîppio"
